Overall Qual,Exter Qual,Kitchen Qual,Bsmt Qual,Gr Liv Area,Total Bsmt SF,1st Flr SF,Lot Area,Lot Frontage,Neighborhood,MS Zoning,Bldg Type,House Style,Year Built,Year Remod/Add,Full Bath,TotRms AbvGrd,Garage Cars,Garage Area,Fireplaces,Central Air,BsmtFin SF 1,Wood Deck SF,Open Porch SF,Mas Vnr Area,SalePrice
6,TA,TA,TA,1320,768.0,819,8064,60.0,NAmes,RL,1Fam,1.5Fin,1948,1950,2,5,2.0,576.0,0,Y,315.0,108,0,0.0,138000
6,TA,TA,TA,984,936.0,984,6390,64.0,NAmes,RL,1Fam,1.5Unf,1954,1954,1,4,1.0,280.0,0,Y,0.0,0,0,0.0,112500
6,TA,Gd,TA,832,832.0,832,7227,59.0,NAmes,RL,1Fam,1.5Unf,1954,1954,1,4,2.0,528.0,0,Y,0.0,0,0,0.0,105500
6,TA,TA,TA,1278,854.0,854,7200,60.0,NAmes,RL,1Fam,1.5Fin,1954,1954,1,6,1.0,240.0,0,Y,673.0,0,0,0.0,127500
5,TA,TA,TA,1800,1800.0,1800,8513,113.0,NAmes,RL,Duplex,1Story,1961,1961,2,10,0.0,0.0,0,N,0.0,0,0,0.0,130000
5,TA,TA,TA,1588,768.0,1024,7200,60.0,NAmes,RL,1Fam,1.5Fin,1955,1967,1,6,2.0,480.0,0,Y,370.0,0,0,0.0,150000
5,TA,TA,TA,825,825.0,825,7200,60.0,NAmes,RL,1Fam,1Story,1954,1954,1,4,1.0,350.0,0,Y,0.0,0,0,0.0,109500
6,TA,TA,TA,1796,780.0,983,7056,71.0,NAmes,RL,1Fam,2Story,1963,1963,1,8,2.0,483.0,1,Y,400.0,0,50,415.0,140000
6,TA,TA,TA,1611,780.0,798,9760,80.0,NAmes,RL,1Fam,2Story,1964,1964,1,7,2.0,442.0,0,Y,674.0,328,128,360.0,167900
5,TA,TA,TA,1117,1117.0,1117,7590,69.0,NAmes,RL,1Fam,1Story,1963,1963,1,6,1.0,264.0,0,Y,0.0,0,0,0.0,136870
6,TA,TA,TA,1133,192.0,1133,9836,56.0,OldTown,RM,1Fam,1Story,2008,2008,1,7,1.0,308.0,0,N,96.0,0,175,0.0,143000
5,TA,TA,Fa,764,680.0,764,5232,30.0,OldTown,RM,1Fam,1Story,1925,2004,1,4,2.0,504.0,0,N,0.0,0,0,0.0,73000
5,TA,Gd,TA,1539,650.0,958,10440,60.0,OldTown,RM,1Fam,2Story,1904,2002,2,8,2.0,686.0,1,Y,0.0,70,78,0.0,157500
5,TA,TA,TA,1323,780.0,948,9184,57.0,OldTown,RM,1Fam,1.5Fin,1948,2005,1,6,2.0,400.0,0,Y,0.0,0,0,0.0,122600
5,TA,TA,TA,1360,680.0,680,4800,80.0,OldTown,RM,1Fam,2Story,1910,2003,1,6,1.0,330.0,0,N,0.0,192,50,0.0,111000
6,Gd,TA,Gd,2792,1510.0,1584,10440,60.0,OldTown,RM,1Fam,1.5Fin,1920,1950,2,8,2.0,520.0,2,Y,493.0,0,547,0.0,256000
5,TA,TA,Fa,672,672.0,672,4800,60.0,OldTown,RM,1Fam,1Story,1940,1950,1,4,1.0,256.0,0,Y,0.0,0,0,0.0,64000
6,Gd,Gd,TA,1456,728.0,728,6000,60.0,OldTown,RM,1Fam,2.5Unf,1915,2005,1,7,1.0,308.0,0,Y,0.0,0,0,0.0,139500
4,TA,TA,TA,1594,828.0,828,11426,63.0,OldTown,RM,2fmCon,1.5Fin,1910,1996,2,9,0.0,0.0,0,Y,0.0,0,172,0.0,118000
7,TA,Gd,Gd,2082,1362.0,1362,11426,63.0,OldTown,RM,1Fam,1.5Fin,2003,2003,2,6,2.0,484.0,0,Y,0.0,280,238,0.0,200000
4,TA,TA,TA,1656,801.0,1095,7628,63.0,OldTown,RM,1Fam,1.5Fin,1940,1985,2,8,2.0,440.0,0,Y,0.0,187,0,0.0,119164
5,Fa,Ex,TA,1740,936.0,960,7308,81.0,OldTown,RM,1Fam,1.5Fin,1920,1950,1,6,1.0,225.0,1,N,360.0,0,0,0.0,122250
7,Gd,Gd,TA,1027,931.0,1027,5400,60.0,OldTown,RM,1Fam,1Story,1920,2006,1,5,0.0,0.0,1,Y,0.0,0,28,0.0,120000
6,TA,TA,TA,1436,884.0,884,10800,60.0,OldTown,RM,2fmCon,1.5Fin,1940,1950,2,8,2.0,828.0,2,Y,590.0,0,0,0.0,155000
5,TA,TA,TA,899,481.0,899,6756,60.0,OldTown,RM,1Fam,1Story,1910,1950,1,5,1.0,200.0,0,N,0.0,0,0,0.0,78000
5,TA,Gd,Fa,1080,684.0,684,5914,44.0,OldTown,RM,1Fam,1.5Fin,1890,1996,1,5,0.0,0.0,0,Y,0.0,0,165,0.0,95000
5,TA,TA,TA,789,789.0,789,6000,50.0,OldTown,RM,1Fam,1Story,1948,1950,1,5,1.0,250.0,0,Y,104.0,0,0,0.0,115000
5,TA,Gd,TA,1122,924.0,1122,12000,100.0,OldTown,RM,1Fam,1Story,1948,2005,1,6,2.0,528.0,0,Y,144.0,0,36,0.0,147000
5,TA,TA,TA,1499,904.0,904,9000,75.0,OldTown,RM,1Fam,1.5Fin,1946,1950,1,5,3.0,869.0,1,Y,445.0,0,20,0.0,140000
2,TA,TA,TA,407,407.0,407,7311,62.0,OldTown,RM,1Fam,1Story,1946,1950,1,3,1.0,297.0,0,N,0.0,76,0,0.0,46500
5,TA,TA,TA,928,928.0,928,6000,50.0,OldTown,RM,1Fam,1Story,1957,1957,1,5,1.0,288.0,0,Y,308.0,0,0,0.0,112500
4,TA,TA,TA,901,901.0,901,6000,50.0,OldTown,RM,1Fam,1Story,1954,2000,1,4,1.0,281.0,0,Y,0.0,0,0,0.0,107900
3,TA,TA,Fa,1588,448.0,1588,12205,103.0,OldTown,RM,1Fam,1Story,1949,1992,2,6,0.0,0.0,0,Y,0.0,0,0,0.0,65000
7,TA,Gd,TA,3493,1470.0,1675,18386,87.0,OldTown,RM,1Fam,2.5Fin,1880,2002,3,10,3.0,870.0,1,Y,0.0,302,0,0.0,295000
5,TA,TA,Fa,1627,797.0,830,9142,69.0,OldTown,RM,2fmCon,2Story,1900,2006,2,10,2.0,420.0,0,N,0.0,192,0,0.0,139500
5,TA,TA,TA,1416,876.0,876,12665,100.0,OldTown,RM,1Fam,1.5Fin,1915,1950,1,7,3.0,720.0,1,Y,0.0,418,0,0.0,153900
7,TA,TA,TA,1450,624.0,730,5350,53.0,OldTown,RM,1Fam,2Story,1920,1965,1,7,1.0,288.0,0,Y,116.0,0,192,0.0,132000
5,TA,TA,TA,1344,624.0,624,4571,34.0,OldTown,RM,1Fam,2Story,1916,1950,1,7,3.0,513.0,0,N,0.0,0,0,0.0,98000
5,TA,TA,TA,1017,346.0,709,9143,69.0,OldTown,RM,1Fam,1.5Fin,1900,2003,1,5,1.0,308.0,0,Y,0.0,0,0,0.0,114000
5,TA,TA,TA,2350,973.0,1377,9600,60.0,OldTown,RM,2fmCon,2Story,1920,1960,2,10,2.0,393.0,0,Y,234.0,0,0,0.0,130000
6,TA,TA,Gd,2058,735.0,1134,9600,60.0,OldTown,RM,1Fam,2.5Unf,1917,1950,1,8,2.0,396.0,1,N,319.0,0,0,0.0,129500
5,Gd,Gd,Fa,1540,572.0,884,6000,60.0,OldTown,RM,1Fam,2Story,1905,2005,1,7,0.0,0.0,0,Y,0.0,240,77,0.0,129400
7,TA,Gd,TA,1378,689.0,689,9600,60.0,OldTown,RM,1Fam,2Story,1928,2005,2,7,2.0,360.0,1,Y,141.0,0,0,0.0,161000
6,TA,TA,Fa,1912,482.0,1221,10800,60.0,OldTown,RM,2fmCon,1.5Fin,1905,2000,2,7,2.0,672.0,1,N,0.0,0,25,0.0,163000
6,TA,TA,TA,1484,742.0,742,6300,35.0,OldTown,RM,1Fam,2.5Unf,1914,2001,2,9,0.0,0.0,1,Y,0.0,0,291,0.0,128000
8,TA,TA,TA,2358,684.0,938,5250,50.0,OldTown,RM,1Fam,2Story,1872,1987,2,8,0.0,0.0,0,N,259.0,0,54,0.0,122000
7,TA,TA,TA,1111,572.0,572,5700,,OldTown,RM,1Fam,1.5Fin,1926,1950,1,5,1.0,288.0,1,Y,0.0,0,0,0.0,116900
10,Ex,Gd,TA,2775,1237.0,1521,13500,75.0,OldTown,RM,1Fam,2.5Unf,1893,2000,3,9,2.0,880.0,1,Y,0.0,105,502,0.0,325000
2,Fa,TA,Fa,1086,723.0,723,11340,60.0,OldTown,RM,1Fam,2Story,1920,1950,1,5,2.0,400.0,0,N,0.0,0,24,0.0,55000
7,TA,TA,TA,2495,1313.0,1313,10800,60.0,OldTown,RM,1Fam,2Story,1890,1999,2,10,2.0,342.0,1,Y,0.0,0,299,0.0,184000
5,TA,Fa,TA,984,984.0,984,9750,65.0,OldTown,RM,1Fam,1Story,1959,1959,1,5,1.0,308.0,0,Y,200.0,0,0,164.0,110000
5,TA,TA,TA,1795,1050.0,1050,12150,81.0,OldTown,RM,1Fam,1.5Fin,1954,1954,2,7,1.0,352.0,0,N,0.0,0,0,335.0,131500
5,TA,TA,,882,0.0,882,12702,70.0,OldTown,RM,1Fam,1Story,1956,1956,1,4,1.0,308.0,0,Y,0.0,0,45,0.0,97000
4,TA,TA,TA,1093,869.0,1093,8516,52.0,OldTown,RM,1Fam,1Story,1958,2006,1,5,1.0,308.0,0,Y,0.0,0,0,0.0,115500
5,Gd,TA,TA,1143,1008.0,1143,7111,55.0,BrkSide,RL,1Fam,1Story,1928,1983,1,5,1.0,288.0,1,Y,406.0,265,0,0.0,138000
7,TA,Gd,TA,1668,672.0,1195,7425,,BrkSide,RM,1Fam,1.5Fin,1945,1950,1,8,1.0,252.0,0,Y,0.0,210,0,0.0,108000
5,TA,TA,TA,935,742.0,779,9100,50.0,BrkSide,RM,1Fam,1Story,1930,1960,1,4,1.0,308.0,0,Y,0.0,0,0,0.0,79500
5,TA,TA,TA,1738,1024.0,1144,7010,,BrkSide,RL,1Fam,1.5Fin,1935,1950,2,6,1.0,240.0,1,Y,175.0,0,30,0.0,153000
5,TA,Gd,TA,784,784.0,784,6130,50.0,BrkSide,RM,1Fam,1.5Unf,1924,1950,1,5,0.0,0.0,0,Y,784.0,0,0,0.0,109500
5,TA,Gd,TA,1210,672.0,832,5000,50.0,BrkSide,RM,1Fam,1.5Fin,1941,2006,1,6,1.0,240.0,0,Y,600.0,0,0,0.0,124000
6,TA,TA,TA,1290,554.0,736,5870,59.0,BrkSide,RM,1Fam,2Story,1900,2000,1,6,1.0,200.0,0,Y,0.0,38,112,0.0,106900
6,TA,Gd,TA,1672,981.0,1014,6000,50.0,BrkSide,RM,1Fam,1.5Fin,1940,1989,1,6,1.0,240.0,1,Y,521.0,0,11,0.0,164900
5,TA,TA,TA,949,949.0,949,6000,50.0,BrkSide,RM,1Fam,1Story,1924,2003,1,5,2.0,370.0,1,Y,0.0,0,0,0.0,119000
6,TA,TA,TA,1158,862.0,950,6000,50.0,BrkSide,RM,1Fam,1.5Fin,1929,1950,1,5,1.0,208.0,1,Y,0.0,0,0,0.0,120000
6,TA,TA,TA,1497,825.0,825,6000,50.0,BrkSide,RM,1Fam,1.5Fin,1937,2000,2,5,1.0,672.0,0,Y,201.0,272,0,0.0,157000
6,TA,TA,TA,1342,739.0,874,6000,50.0,BrkSide,RM,1Fam,1.5Fin,1939,1950,2,7,1.0,240.0,1,Y,264.0,0,0,0.0,105000
6,TA,TA,TA,1013,992.0,1013,5000,50.0,BrkSide,RM,1Fam,1.5Unf,1926,1950,1,6,1.0,160.0,0,Y,0.0,0,0,0.0,113000
5,TA,TA,TA,1216,565.0,565,5520,60.0,BrkSide,RM,1Fam,1.5Fin,1920,1997,1,6,1.0,355.0,1,Y,68.0,0,0,0.0,115000
4,TA,TA,,896,,896,5940,99.0,BrkSide,RM,1Fam,1Story,1946,1950,1,4,1.0,280.0,0,Y,,0,0,0.0,79000
4,TA,TA,TA,1136,704.0,624,6240,52.0,BrkSide,RM,1Fam,1.5Fin,1929,1950,1,6,1.0,336.0,0,Y,80.0,0,365,0.0,123000
5,TA,TA,,808,0.0,808,6120,,BrkSide,RM,1Fam,1Story,1945,1995,1,6,1.0,164.0,0,N,0.0,0,48,0.0,81300
5,TA,TA,TA,1573,1078.0,1128,6240,52.0,BrkSide,RM,1Fam,1.5Fin,1930,1992,2,8,2.0,360.0,1,Y,0.0,0,0,0.0,162900
7,TA,TA,TA,2009,989.0,1245,6240,52.0,BrkSide,RM,1Fam,1.5Fin,1939,1950,2,7,2.0,400.0,1,Y,300.0,0,20,0.0,150000
5,TA,TA,TA,1902,1100.0,1226,6120,51.0,OldTown,RM,1Fam,2Story,1923,1950,2,7,2.0,576.0,0,Y,203.0,0,139,0.0,123500
7,TA,TA,TA,1774,952.0,1022,6120,51.0,OldTown,RM,1Fam,1.5Fin,1931,1950,2,8,2.0,468.0,2,Y,0.0,90,0,0.0,129900
6,TA,TA,Fa,1362,611.0,751,6155,60.0,BrkSide,RM,1Fam,2Story,1920,1999,2,6,2.0,502.0,0,Y,0.0,0,0,0.0,128000
4,TA,Fa,TA,520,520.0,520,6324,60.0,BrkSide,RM,1Fam,1Story,1927,1950,1,4,1.0,240.0,0,N,0.0,49,0,0.0,68500
5,TA,TA,TA,1285,672.0,1072,8635,50.0,BrkSide,RM,1Fam,1.5Fin,1948,2001,1,6,1.0,240.0,0,Y,336.0,0,0,0.0,127000
6,TA,Gd,TA,1848,833.0,1053,13053,64.0,BrkSide,RL,1Fam,1.5Fin,1923,2000,1,8,2.0,370.0,1,Y,0.0,0,0,0.0,207000
7,TA,TA,TA,1820,1026.0,1133,9120,60.0,BrkSide,RL,1Fam,1.5Fin,1925,1950,2,8,1.0,240.0,0,Y,329.0,0,100,0.0,184000
6,TA,Gd,TA,1716,810.0,1170,9144,60.0,BrkSide,RL,1Fam,1.5Fin,1915,2004,2,8,2.0,672.0,0,Y,0.0,0,195,0.0,162500
5,TA,TA,TA,1505,883.0,988,9144,,BrkSide,RL,1Fam,1.5Fin,1940,1982,1,8,1.0,240.0,0,Y,399.0,0,0,0.0,145000
6,TA,Fa,TA,838,816.0,838,10267,55.0,BrkSide,RL,1Fam,1Story,1918,2000,1,5,1.0,275.0,0,Y,210.0,0,0,0.0,130000
6,TA,TA,TA,1984,1242.0,1242,8094,57.0,OldTown,RM,2fmCon,2.5Unf,1910,1983,2,8,1.0,360.0,0,Y,196.0,64,0,0.0,160000
8,TA,Gd,TA,1666,588.0,833,5100,,OldTown,RM,1Fam,2Story,1925,1996,1,7,1.0,228.0,1,Y,0.0,192,63,0.0,161000
6,Gd,TA,Gd,1609,796.0,825,4347,63.0,OldTown,RM,1Fam,1.5Fin,1910,1950,1,7,1.0,228.0,0,Y,0.0,0,182,0.0,127500
6,Gd,TA,TA,768,768.0,768,6291,,IDOTRR,RM,1Fam,1Story,1930,1950,1,4,2.0,440.0,0,Y,0.0,0,0,0.0,93850
6,TA,TA,TA,1536,768.0,768,10266,60.0,IDOTRR,RM,1Fam,2Story,1952,1952,1,7,1.0,308.0,0,Y,372.0,0,216,0.0,136000
6,TA,TA,TA,1969,1272.0,1272,6876,60.0,IDOTRR,RM,1Fam,1.5Fin,1938,1958,2,9,2.0,400.0,1,Y,0.0,0,34,0.0,141000
5,TA,TA,TA,1308,880.0,880,10320,,IDOTRR,RM,1Fam,1.5Fin,1915,1978,2,6,2.0,400.0,0,Y,0.0,0,0,0.0,120000
6,TA,TA,TA,1040,1040.0,1040,7200,60.0,IDOTRR,RM,1Fam,1Story,1925,1992,1,5,2.0,320.0,0,Y,0.0,0,132,0.0,127500
6,TA,TA,TA,1236,768.0,788,7006,62.0,IDOTRR,RM,1Fam,1.5Fin,1925,1950,2,6,1.0,384.0,1,Y,121.0,0,0,0.0,127000
6,TA,Fa,TA,1406,319.0,1035,7920,,IDOTRR,RM,1Fam,1.5Fin,1920,1950,1,6,0.0,0.0,0,Y,0.0,0,144,0.0,89500
5,TA,TA,TA,825,825.0,825,8235,49.0,OldTown,RM,1Fam,1Story,1955,1995,1,4,2.0,720.0,0,Y,180.0,140,50,0.0,125000
6,TA,TA,TA,1198,901.0,1088,5586,60.0,OldTown,RM,1Fam,1.5Fin,1920,1998,1,7,0.0,0.0,0,Y,0.0,0,98,0.0,79900
5,TA,TA,Fa,759,451.0,759,10320,60.0,IDOTRR,RM,1Fam,1Story,1912,1991,1,5,2.0,576.0,0,Y,0.0,40,0,0.0,85000
3,Fa,TA,TA,1344,536.0,808,10320,60.0,IDOTRR,RM,2fmCon,2Story,1915,1950,2,8,0.0,0.0,0,N,0.0,42,0,0.0,82375
6,TA,TA,TA,1469,756.0,756,10320,60.0,IDOTRR,RM,1Fam,1.5Fin,1906,1995,1,7,1.0,216.0,0,Y,0.0,57,0,0.0,135000
5,Gd,TA,TA,1054,1046.0,1054,9488,82.0,Sawyer,RL,1Fam,1Story,1947,1993,1,6,1.0,240.0,0,N,0.0,0,60,0.0,124000
5,TA,TA,TA,1211,952.0,1211,8250,55.0,Sawyer,RL,1Fam,1Story,1968,1968,1,5,1.0,322.0,1,Y,250.0,0,63,0.0,134000
5,TA,TA,TA,1271,720.0,720,21286,115.0,Sawyer,RL,1Fam,1.5Fin,1948,1950,2,7,1.0,312.0,1,Y,0.0,0,0,0.0,135000
4,TA,TA,,1588,0.0,1120,17120,80.0,ClearCr,RL,1Fam,1.5Fin,1959,1959,2,7,2.0,680.0,1,Y,0.0,0,59,0.0,134432
5,TA,TA,TA,1355,644.0,808,10106,62.0,Edwards,RL,2fmCon,1.5Fin,1940,1999,2,6,0.0,0.0,0,Y,351.0,140,0,0.0,127500
5,TA,Gd,Gd,1075,981.0,1075,11235,,Sawyer,RL,1Fam,SFoyer,1963,1963,1,6,2.0,440.0,0,Y,784.0,64,0,0.0,148000
5,TA,TA,TA,1040,1040.0,1040,11200,70.0,Sawyer,RL,1Fam,1Story,1965,1965,1,5,1.0,384.0,0,Y,906.0,0,0,0.0,129500
6,TA,TA,TA,1096,1008.0,1096,13014,80.0,Sawyer,RL,1Fam,SLvl,1978,1978,1,6,2.0,484.0,1,Y,528.0,168,0,39.0,157500
5,TA,TA,TA,904,876.0,904,7162,,Sawyer,RL,1Fam,1Story,1966,1966,1,6,1.0,408.0,0,Y,0.0,0,0,41.0,109900
5,TA,Gd,TA,992,992.0,992,10265,68.0,Sawyer,RL,1Fam,1Story,1967,2005,1,6,1.0,294.0,0,Y,758.0,204,0,0.0,145000
5,TA,Gd,TA,894,894.0,894,9764,57.0,Sawyer,RL,1Fam,1Story,1967,2003,1,5,2.0,450.0,0,Y,702.0,0,0,0.0,130000
6,TA,TA,Gd,1034,450.0,1034,7703,,Sawyer,RL,1Fam,SFoyer,1978,1978,1,6,2.0,504.0,1,Y,450.0,311,0,40.0,153000
5,TA,TA,TA,1073,1073.0,1073,9981,,Sawyer,RL,1Fam,1Story,1967,1967,1,6,1.0,270.0,0,Y,221.0,0,90,340.0,120000
5,TA,TA,Gd,1126,1060.0,1126,7400,,Sawyer,RL,1Fam,SFoyer,1984,1984,1,5,2.0,506.0,0,Y,104.0,178,0,0.0,152000
4,TA,TA,Gd,1258,1198.0,1258,12900,60.0,Sawyer,RL,Duplex,SFoyer,1969,1969,0,6,2.0,400.0,0,Y,1198.0,120,0,0.0,108959
5,TA,TA,TA,1140,1300.0,1140,12900,60.0,Sawyer,RL,2fmCon,1Story,1920,1950,1,6,2.0,400.0,0,Y,1300.0,0,0,0.0,95541
5,TA,TA,TA,1006,1006.0,1006,9000,,Sawyer,RL,1Fam,1Story,1959,1959,1,5,0.0,0.0,0,Y,288.0,0,24,0.0,80000
5,TA,Gd,TA,1228,1228.0,1228,8544,,Sawyer,RL,1Fam,1Story,1966,2006,1,6,1.0,271.0,0,Y,0.0,0,65,0.0,149350
5,TA,Gd,TA,960,960.0,960,9239,94.0,Sawyer,RL,1Fam,1Story,1963,2003,1,6,1.0,300.0,0,Y,634.0,168,0,0.0,144900
6,TA,TA,TA,1188,988.0,1188,14175,88.0,Sawyer,RL,1Fam,1Story,1956,1956,1,4,2.0,621.0,1,Y,776.0,102,89,0.0,185000
5,TA,TA,Gd,1383,1383.0,1383,13284,,Sawyer,RL,1Fam,1Story,1954,1954,1,6,1.0,354.0,1,Y,1064.0,511,116,0.0,165000
6,TA,TA,Gd,1252,1602.0,1252,13500,,ClearCr,RL,1Fam,1Story,1960,1975,1,4,2.0,564.0,1,Y,429.0,409,0,0.0,235000
5,TA,TA,TA,1601,533.0,1021,13825,85.0,Sawyer,RL,1Fam,SLvl,1958,1987,1,6,1.0,300.0,0,Y,0.0,280,34,0.0,140000
5,TA,TA,TA,672,672.0,672,10200,60.0,Sawyer,RL,1Fam,1Story,1940,1997,1,4,1.0,240.0,0,Y,0.0,168,0,0.0,108000
5,TA,TA,TA,1721,988.0,1721,10532,,ClearCr,RL,1Fam,1Story,1960,1960,2,7,2.0,626.0,2,Y,988.0,50,84,275.0,145000
5,TA,Gd,TA,1350,576.0,864,8375,63.0,Sawyer,RL,1Fam,1.5Fin,1941,1973,1,6,3.0,627.0,0,Y,336.0,0,0,0.0,152400
5,TA,Gd,Gd,904,864.0,904,10200,,Sawyer,RL,1Fam,SLvl,1970,1970,1,5,3.0,912.0,0,Y,704.0,143,0,0.0,144000
6,TA,Gd,Gd,1291,1291.0,1291,2887,,ClearCr,RL,1Fam,1Story,1996,1997,1,6,2.0,431.0,1,Y,1003.0,307,0,0.0,173000
7,TA,TA,Gd,2022,1160.0,1156,10005,83.0,ClearCr,RL,1Fam,2Story,1977,1977,2,8,2.0,505.0,1,Y,392.0,288,117,299.0,192000
7,TA,TA,Gd,1524,1524.0,1524,20270,82.0,ClearCr,RL,1Fam,1Story,1979,1979,2,7,2.0,478.0,2,Y,599.0,140,0,0.0,245000
7,TA,TA,Gd,1363,1385.0,1363,39104,73.0,ClearCr,RL,1Fam,1Story,1954,2005,1,5,2.0,439.0,2,Y,226.0,81,0,0.0,241500
4,TA,Gd,Gd,1663,1364.0,1663,53227,,ClearCr,RL,1Fam,1Story,1954,1994,1,6,2.0,529.0,2,Y,1116.0,224,137,0.0,256000
6,TA,Ex,TA,1357,1019.0,1357,11512,124.0,Edwards,RL,1Fam,SLvl,1959,2006,1,5,1.0,312.0,1,Y,719.0,0,0,84.0,177000
7,TA,TA,TA,1079,570.0,617,5190,50.0,Edwards,RL,1Fam,1.5Fin,1948,1950,1,5,1.0,249.0,1,Y,0.0,135,0,0.0,125600
6,TA,TA,TA,1094,1094.0,1094,10452,85.0,Edwards,RL,1Fam,1Story,1953,1953,1,5,2.0,495.0,2,Y,500.0,0,0,216.0,155000
6,TA,TA,TA,2358,907.0,1307,45600,75.0,ClearCr,RL,1Fam,1.5Fin,1908,1997,3,10,2.0,360.0,1,Y,0.0,486,40,0.0,240000
5,TA,Fa,TA,1518,1580.0,1518,19550,85.0,Edwards,RL,1Fam,1Story,1940,2007,1,5,0.0,0.0,2,Y,1035.0,0,39,0.0,260000
6,TA,TA,Gd,1674,1163.0,1163,21780,66.0,Edwards,RL,1Fam,1.5Fin,1918,1950,2,8,2.0,396.0,1,Y,0.0,72,36,0.0,185000
6,TA,Gd,TA,2108,1127.0,1236,13728,120.0,Edwards,RL,1Fam,2Story,1935,1986,2,7,2.0,540.0,2,Y,626.0,0,0,0.0,235000
5,TA,Gd,TA,1509,1509.0,1509,9571,68.0,Edwards,RL,1Fam,1Story,1956,1956,1,6,1.0,322.0,1,Y,870.0,158,0,0.0,159900
5,TA,TA,Gd,864,864.0,864,9350,50.0,Edwards,RL,Duplex,SFoyer,1975,1975,1,4,0.0,0.0,0,N,864.0,0,0,0.0,99600
6,Gd,TA,TA,1269,621.0,621,9360,50.0,Edwards,RL,1Fam,2Story,1962,2001,1,7,1.0,280.0,0,Y,324.0,0,236,216.0,134500
5,TA,TA,TA,1367,861.0,961,8405,50.0,Edwards,RL,1Fam,1.5Fin,1900,1950,1,7,1.0,384.0,0,Y,241.0,0,130,0.0,119000
5,TA,TA,Gd,1347,1117.0,820,7000,70.0,Edwards,RL,2fmCon,2Story,1910,1991,1,5,0.0,0.0,0,Y,969.0,85,0,0.0,107500
5,TA,TA,TA,1164,1164.0,1164,10880,68.0,Edwards,RL,2fmCon,1Story,1950,1950,1,5,1.0,240.0,0,N,1040.0,0,48,0.0,125000
6,TA,TA,TA,1096,572.0,572,9600,60.0,Edwards,RL,1Fam,1.5Fin,1924,1950,1,5,0.0,0.0,0,N,0.0,0,8,0.0,79000
5,TA,TA,TA,1111,616.0,616,9084,60.0,Edwards,RL,1Fam,1.5Fin,1941,1950,1,5,1.0,200.0,0,N,236.0,48,0,0.0,95000
7,TA,Gd,Gd,2329,1475.0,1532,11839,86.0,SawyerW,RL,1Fam,2Story,1990,1990,2,10,2.0,514.0,1,Y,1085.0,192,121,99.0,262280
6,Gd,Gd,Gd,2814,1077.0,1093,9771,,SawyerW,RL,1Fam,2Story,1995,2002,2,9,2.0,614.0,1,Y,779.0,48,32,190.0,260000
7,Gd,Gd,Gd,1626,1602.0,1626,9938,80.0,SawyerW,RL,1Fam,1Story,1994,1994,2,7,2.0,534.0,1,Y,1271.0,424,40,251.0,226500
7,Gd,Gd,Gd,2200,812.0,1101,14171,,SawyerW,RL,1Fam,2Story,1993,1994,2,9,2.0,453.0,1,Y,355.0,168,98,0.0,225000
7,Gd,Gd,Gd,2037,672.0,1302,10541,85.0,SawyerW,RL,1Fam,SLvl,1996,1996,2,8,2.0,472.0,1,Y,0.0,100,33,0.0,229000
7,Gd,Gd,Gd,1356,628.0,628,10616,65.0,CollgCr,RL,1Fam,2Story,2007,2007,2,6,2.0,484.0,1,Y,0.0,100,24,0.0,177439
8,Gd,Gd,Gd,1615,1615.0,1615,9345,65.0,CollgCr,RL,1Fam,1Story,2007,2007,2,7,3.0,864.0,1,Y,0.0,168,30,156.0,248500
9,Gd,Ex,Gd,2276,2271.0,2276,11778,91.0,CollgCr,RL,1Fam,1Story,2008,2008,2,7,3.0,1348.0,2,Y,2085.0,0,0,554.0,475000
9,Ex,Ex,Ex,1766,1751.0,1766,11778,91.0,CollgCr,RL,1Fam,1Story,2008,2008,2,8,3.0,874.0,2,Y,1153.0,216,36,402.0,395039
7,Gd,Gd,Gd,2097,1080.0,1080,11228,59.0,SawyerW,RL,1Fam,2Story,1993,1993,2,9,3.0,678.0,1,Y,50.0,196,187,0.0,228000
8,Gd,Gd,Gd,1511,1401.0,1511,11454,,SawyerW,RL,1Fam,SLvl,1995,1995,2,6,3.0,811.0,1,Y,770.0,168,42,302.0,225000
6,TA,TA,Gd,1643,1182.0,1643,11500,,ClearCr,RL,1Fam,1Story,1966,1966,2,6,2.0,438.0,1,Y,262.0,339,0,0.0,195000
6,TA,Gd,Gd,1688,616.0,616,12798,79.0,ClearCr,RL,1Fam,2Story,1997,1997,2,8,2.0,603.0,0,Y,462.0,403,114,0.0,200000
5,TA,TA,Gd,990,990.0,990,9750,65.0,CollgCr,RL,1Fam,1Story,1994,1994,1,5,2.0,528.0,0,Y,722.0,168,0,0.0,155000
5,TA,Gd,Gd,1099,1099.0,1099,9525,75.0,CollgCr,RL,1Fam,1Story,1995,2006,1,6,1.0,352.0,0,Y,0.0,278,0,0.0,144000
5,TA,TA,Gd,990,990.0,990,9245,57.0,CollgCr,RL,1Fam,1Story,1994,1995,1,5,2.0,672.0,0,Y,686.0,0,0,0.0,145000
7,TA,Gd,Gd,1418,1418.0,1418,8696,,CollgCr,RL,1Fam,1Story,1997,1998,2,5,2.0,558.0,1,Y,1308.0,208,110,150.0,226001
6,TA,Gd,Gd,1771,864.0,872,13142,,CollgCr,RL,1Fam,2Story,1997,1997,2,6,2.0,600.0,0,Y,688.0,0,96,128.0,215700
